Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
knn,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.014286848,1.39310160415,3,3023,3,399,4032
knn,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.014286848,0.158941570231,15,13558,6,1573,15902
knn,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.014286848,1.61472774325,14,3025,1,388,4032
knn,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.014286848,-0.483961223656,5,3535,13,468,4730
knn,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.014286848,-1.05893255532,13,13658,2,1419,15842
knn,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.014286848,1.74870141095,10,3454,9,455,4621
knn,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.014286848,-2.26452762325,4,1405,5,186,1882
knn,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.014286848,1.49595613499,2,3024,2,400,4032
knn,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.014286848,2.7286333489,6,1155,0,147,1538
knn,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.014286848,1.73137045471,5,1226,6,160,1643
knn,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.014286848,0.0,0,3428,0,0,4032
knn,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.014286848,1.45991999792,15,5788,3,711,7267
knn,reward_low_FN_rate,realTraffic/speed_7578.csv,0.014286848,3.13469749818,10,837,5,106,1127
knn,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.014286848,1.7360251845,9,1875,0,241,2500
knn,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.014286848,0.86067182427,4,3025,0,399,4032
knn,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.014286848,-4.42324678886,4,8534,1,1031,10320
knn,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.014286848,-2.33752032293,19,19676,1,2249,22695
knn,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.014286848,0.773806714479,4,3538,9,470,4730
knn,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.014286848,0.00651764924082,9,13536,17,1581,15893
knn,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.014286848,0.185825038478,5,1229,4,159,1643
knn,reward_low_FN_rate,realTraffic/speed_6005.csv,0.014286848,0.622622001756,2,1884,2,237,2500
knn,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.014286848,0.641332040976,2,1782,2,237,2380
knn,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.014286848,1.3551621131,3,1215,4,159,1624
knn,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.014286848,1.12451075709,26,13527,4,1559,15866
knn,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.014286848,1.43821738287,16,1866,5,234,2495
knn,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.014286848,2.43703499503,7,13557,2,1586,15902
knn,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.014286848,0.0,0,3428,0,0,4032
knn,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.014286848,-2.11,0,3024,1,403,4032
knn,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.014286848,1.50721469783,8,3024,2,394,4032
knn,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.014286848,0.798528406876,7,3083,2,336,4032
knn,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.014286848,-0.915943600319,8,3016,7,397,4032
knn,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.014286848,1.84632452799,9,3080,2,337,4032
knn,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.014286848,0.837110390923,2,1621,0,215,2162
knn,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.014286848,0.0,0,3428,0,0,4032
knn,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.014286848,2.30645630301,11,13573,4,1515,15853
knn,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.014286848,-1.84700738236,1,4029,6,529,5315
knn,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.014286848,1.03831493408,4,3019,7,398,4032
knn,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.014286848,1.61137570748,4,13500,1,1578,15833
knn,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.014286848,-0.33,0,3425,3,0,4032
knn,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.014286848,0.86067182427,19,3025,0,384,4032
knn,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.014286848,1.61310160415,4,3025,1,398,4032
knn,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.014286848,0.812788767566,1,3024,1,402,4032
knn,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.014286848,0.915112909766,4,3023,2,399,4032
knn,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.014286848,-2.0,0,3025,0,403,4032
knn,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.014286848,-0.892685612024,8,3017,6,397,4032
knn,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.014286848,1.93207014452,6,1871,5,243,2500
knn,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.014286848,0.75067182427,4,3024,1,399,4032
knn,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.014286848,0.0,0,3428,0,0,4032
knn,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.014286848,2.23454164554,3,13511,3,1584,15851
knn,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.014286848,-2.58084736164,6,13498,3,1574,15831
knn,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.014286848,-4.55,0,926,5,126,1243
knn,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.014286848,0.752098587352,1,1154,1,152,1538
knn,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.014286848,0.877312777016,4,3025,0,399,4032
knn,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.014286848,-0.745613902495,2,3010,15,401,4032
knn,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.014286848,3.04701344907,8,13516,4,1580,15858
knn,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.014286848,0.0,0,3428,0,0,4032
knn,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.014286848,0.0735092896238,5,15793,8,1494,18050
knn,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.014286848,0.332118229752,1,1213,5,162,1624
Totals,,,,24.2538251133,342,299146,201,33153,365558
