Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
knn,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.95234375,-2.0,0,3026,0,402,4032
knn,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.95234375,-4.0,0,13564,0,1588,15902
knn,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.95234375,-2.0,0,3026,0,402,4032
knn,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.95234375,-1.0,0,3548,0,473,4730
knn,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.95234375,-3.0,0,13660,0,1432,15842
knn,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.95234375,-3.0,0,3463,0,465,4621
knn,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.95234375,-3.79174848253,23,1390,20,167,1882
knn,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.95234375,-2.0,0,3026,0,402,4032
knn,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.95234375,1.6745343057,9,1151,4,144,1538
knn,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.95234375,0.732257696424,2,1232,0,163,1643
knn,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.95234375,0.0,0,3428,0,0,4032
knn,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.95234375,-2.0,0,5791,0,726,7267
knn,reward_low_FP_rate,realTraffic/speed_7578.csv,0.95234375,-4.44,0,840,2,116,1127
knn,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.95234375,-2.0,0,1875,0,250,2500
knn,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.95234375,-1.0,0,3025,0,403,4032
knn,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.95234375,-5.0,0,8535,0,1035,10320
knn,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.95234375,-4.0,0,19677,0,2268,22695
knn,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.95234375,-2.0,0,3547,0,474,4730
knn,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.95234375,-2.0,0,13553,0,1590,15893
knn,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.95234375,-0.280863093544,6,1233,0,158,1643
knn,reward_low_FP_rate,realTraffic/speed_6005.csv,0.95234375,-1.44,0,1884,2,239,2500
knn,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.95234375,-1.22,0,1783,1,239,2380
knn,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.95234375,-2.0,0,1219,0,162,1624
knn,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.95234375,-5.0,0,13531,0,1585,15866
knn,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.95234375,-2.0,0,1871,0,250,2495
knn,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.95234375,-3.0,0,13559,0,1593,15902
knn,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.95234375,-0.44,0,3426,2,0,4032
knn,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.95234375,-1.0,0,3025,0,403,4032
knn,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.95234375,-0.141984317169,1,3026,0,401,4032
knn,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.95234375,-1.0,0,3085,0,343,4032
knn,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.95234375,-3.0,0,3023,0,405,4032
knn,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.95234375,-3.0,0,3082,0,346,4032
knn,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.95234375,-1.44,0,1619,2,217,2162
knn,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.95234375,0.0,0,3428,0,0,4032
knn,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.95234375,-3.0,0,13577,0,1526,15853
knn,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.95234375,-2.0,0,4035,0,530,5315
knn,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.95234375,-2.0,0,3026,0,402,4032
knn,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.95234375,-2.0,0,13501,0,1582,15833
knn,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.95234375,0.0,0,3428,0,0,4032
knn,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.95234375,-1.0,0,3025,0,403,4032
knn,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.95234375,-2.0,0,3026,0,402,4032
knn,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.95234375,-1.0,0,3025,0,403,4032
knn,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.95234375,-1.0,0,3025,0,403,4032
knn,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.95234375,-1.0,0,3025,0,403,4032
knn,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.95234375,-3.0,0,3023,0,405,4032
knn,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.95234375,-3.44,0,1874,2,249,2500
knn,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.95234375,-1.0,0,3025,0,403,4032
knn,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.95234375,0.0,0,3428,0,0,4032
knn,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.95234375,-3.0,0,13514,0,1587,15851
knn,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.95234375,-4.0,0,13501,0,1580,15831
knn,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.95234375,-2.0,0,931,0,126,1243
knn,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.95234375,0.862098587352,4,1155,0,149,1538
knn,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.95234375,-1.0,0,3025,0,403,4032
knn,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.95234375,-1.0,0,3025,0,403,4032
knn,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.95234375,-4.0,0,13520,0,1588,15858
knn,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.95234375,0.0,0,3428,0,0,4032
knn,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.95234375,-1.0,0,15801,0,1499,18050
knn,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.95234375,-1.10588879229,0,1217,1,163,1624
Totals,,,,-104.471594096,45,299311,36,33450,365558
