Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
knn,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.014286848,1.39310160415,3,3023,3,399,4032
knn,standard,realTweets/Twitter_volume_AAPL.csv,0.014286848,1.15894157023,15,13558,6,1573,15902
knn,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.014286848,1.61472774325,14,3025,1,388,4032
knn,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.014286848,-0.483961223656,5,3535,13,468,4730
knn,standard,realTweets/Twitter_volume_GOOG.csv,0.014286848,-0.0589325553245,13,13658,2,1419,15842
knn,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.014286848,1.74870141095,10,3454,9,455,4621
knn,standard,realKnownCause/rogue_agent_key_hold.csv,0.014286848,-1.26452762325,4,1405,5,186,1882
knn,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.014286848,1.49595613499,2,3024,2,400,4032
knn,standard,realAdExchange/exchange-3_cpc_results.csv,0.014286848,2.7286333489,6,1155,0,147,1538
knn,standard,realAdExchange/exchange-4_cpc_results.csv,0.014286848,1.73137045471,5,1226,6,160,1643
knn,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.014286848,0.0,0,3428,0,0,4032
knn,standard,realKnownCause/ambient_temperature_system_failure.csv,0.014286848,1.45991999792,15,5788,3,711,7267
knn,standard,realTraffic/speed_7578.csv,0.014286848,3.13469749818,10,837,5,106,1127
knn,standard,realTraffic/occupancy_t4013.csv,0.014286848,1.7360251845,9,1875,0,241,2500
knn,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.014286848,0.86067182427,4,3025,0,399,4032
knn,standard,realKnownCause/nyc_taxi.csv,0.014286848,-1.42324678886,4,8534,1,1031,10320
knn,standard,realKnownCause/machine_temperature_system_failure.csv,0.014286848,-0.337520322932,19,19676,1,2249,22695
knn,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.014286848,0.773806714479,4,3538,9,470,4730
knn,standard,realTweets/Twitter_volume_IBM.csv,0.014286848,0.00651764924082,9,13536,17,1581,15893
knn,standard,realAdExchange/exchange-4_cpm_results.csv,0.014286848,1.18582503848,5,1229,4,159,1643
knn,standard,realTraffic/speed_6005.csv,0.014286848,0.622622001756,2,1884,2,237,2500
knn,standard,realTraffic/occupancy_6005.csv,0.014286848,0.641332040976,2,1782,2,237,2380
knn,standard,realAdExchange/exchange-2_cpm_results.csv,0.014286848,1.3551621131,3,1215,4,159,1624
knn,standard,realTweets/Twitter_volume_UPS.csv,0.014286848,2.12451075709,26,13527,4,1559,15866
knn,standard,realTraffic/speed_t4013.csv,0.014286848,1.43821738287,16,1866,5,234,2495
knn,standard,realTweets/Twitter_volume_CRM.csv,0.014286848,2.43703499503,7,13557,2,1586,15902
knn,standard,artificialNoAnomaly/art_noisy.csv,0.014286848,0.0,0,3428,0,0,4032
knn,standard,artificialWithAnomaly/art_daily_nojump.csv,0.014286848,-1.11,0,3024,1,403,4032
knn,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.014286848,1.50721469783,8,3024,2,394,4032
knn,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.014286848,0.798528406876,7,3083,2,336,4032
