Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
knncad,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.9990016,1.41586665687,32,13547,12,1561,15902
knncad,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.9990016,-0.673072168304,6,3019,4,399,4032
knncad,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.9990016,1.39310160415,3,3023,3,399,4032
knncad,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.9990016,0.883806714479,4,3539,8,470,4730
knncad,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.9990016,-2.0,0,3025,0,403,4032
knncad,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.9990016,0.929459598473,2,3024,1,401,4032
knncad,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.9990016,-4.22,0,1408,2,190,1882
knncad,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.9990016,-16.6127566313,70,13355,176,1515,15866
knncad,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.9990016,1.62048673506,9,3077,5,337,4032
knncad,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.9990016,-10.0367830484,54,13396,118,1533,15851
knncad,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.9990016,-30.1022804117,272,13208,356,1316,15902
knncad,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.9990016,0.0,0,3428,0,0,4032
knncad,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.9990016,-0.267742303576,4,1232,0,161,1643
knncad,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.9990016,1.43821738287,16,1866,5,234,2495
knncad,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.9990016,0.652310103468,2,3024,2,400,4032
