Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
knncad,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,1.0,0.236125477719,32,13547,12,1561,15902
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,1.0,0.510803971264,5,3022,1,400,4032
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,1.50310160415,2,3025,1,400,4032
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,1.0,0.883806714479,4,3543,4,470,4730
knncad,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,1.0,-1.0,0,3025,0,403,4032
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,0.870131462394,1,3024,1,402,4032
knncad,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,1.0,-2.22,0,1409,1,190,1882
knncad,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,1.0,-33.778148631,70,13355,176,1515,15866
knncad,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,1.0,0.0699075050072,3,3079,3,343,4032
knncad,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,1.0,-22.8257262025,54,13396,118,1533,15851
knncad,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,1.0,-63.8095848537,272,13208,356,1316,15902
knncad,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,1.0,0.0,0,3428,0,0,4032
knncad,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,1.0,0.732257696424,3,1232,0,162,1643
knncad,reward_low_FP_rate,realTraffic/speed_t4013.csv,1.0,0.888217382871,16,1866,5,234,2495
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,0.652310103468,2,3025,1,400,4032
knncad,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,1.0,-0.263526424877,3,1233,0,161,1643
knncad,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,1.0,1.12991999792,10,5788,3,716,7267
knncad,reward_low_FP_rate,realTraffic/occupancy_6005.csv,1.0,0.861272490375,1,1784,0,238,2380
