Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
knncad,standard,realTweets/Twitter_volume_CRM.csv,0.998976,1.41586665687,32,13547,12,1561,15902
knncad,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.998976,0.326927831696,6,3019,4,399,4032
knncad,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.998976,1.39310160415,3,3023,3,399,4032
knncad,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.998976,0.883806714479,4,3539,8,470,4730
knncad,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.998976,-1.0,0,3025,0,403,4032
knncad,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.998976,0.819459598473,2,3023,2,401,4032
knncad,standard,realKnownCause/rogue_agent_key_hold.csv,0.998976,-2.22,0,1408,2,190,1882
knncad,standard,realTweets/Twitter_volume_UPS.csv,0.998976,-15.6127566313,70,13355,176,1515,15866
knncad,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.998976,1.62048673506,9,3077,5,337,4032
knncad,standard,realTweets/Twitter_volume_KO.csv,0.998976,-10.0367830484,54,13396,118,1533,15851
knncad,standard,realTweets/Twitter_volume_AAPL.csv,0.998976,-30.1022804117,272,13208,356,1316,15902
knncad,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.998976,0.0,0,3428,0,0,4032
knncad,standard,realAdExchange/exchange-4_cpc_results.csv,0.998976,0.732257696424,4,1232,0,161,1643
knncad,standard,realTraffic/speed_t4013.csv,0.998976,1.43821738287,16,1866,5,234,2495
knncad,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.998976,0.652310103468,2,3024,2,400,4032
knncad,standard,realAdExchange/exchange-4_cpm_results.csv,0.998976,1.60471036268,4,1233,0,160,1643
knncad,standard,realKnownCause/ambient_temperature_system_failure.csv,0.998976,1.25917498683,26,5786,5,700,7267
knncad,standard,realTraffic/occupancy_6005.csv,0.998976,0.641332040976,1,1782,2,238,2380
knncad,standard,realTweets/Twitter_volume_PFE.csv,0.998976,-1.37862564491,6,13510,10,1582,15858
knncad,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.998976,0.0432100263242,1,3017,8,402,4032
knncad,standard,artificialNoAnomaly/art_flatline.csv,0.998976,0.0,0,3428,0,0,4032
knncad,standard,realKnownCause/rogue_agent_key_updown.csv,0.998976,-0.957007382361,1,4028,7,529,5315
knncad,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.998976,-1.90168300796,2,3016,7,403,4032
knncad,standard,artificialNoAnomaly/art_noisy.csv,0.998976,-0.66,0,3422,6,0,4032
knncad,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.998976,0.75067182427,24,3024,1,379,4032
knncad,standard,realTweets/Twitter_volume_FB.csv,0.998976,-5.53760301748,14,13435,66,1568,15833
knncad,standard,realTweets/Twitter_volume_AMZN.csv,0.998976,-5.99140834203,52,13407,94,1528,15831
knncad,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.998976,-1.4598742648,62,15779,22,1437,18050
knncad,standard,realTweets/Twitter_volume_IBM.csv,0.998976,-3.99086446945,18,13497,56,1572,15893
knncad,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.998976,0.75067182427,5,3024,1,398,4032
knncad,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.998976,0.64067182427,17,3023,2,386,4032
knncad,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.998976,-2.11,0,930,1,126,1243
