Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
knnicad,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.998387705283,-3.92511730799,14,13499,54,1576,15893
knnicad,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.998387705283,1.82813374341,25,13544,20,1563,15902
knnicad,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.998387705283,-0.104888993004,6,3015,10,397,4032
knnicad,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.998387705283,0.17503900988,13,3531,16,461,4730
knnicad,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.998387705283,1.98495786471,6,1872,4,243,2500
knnicad,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.998387705283,-0.59771709475,2,1229,3,163,1643
knnicad,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.998387705283,0.31067182427,23,3020,5,380,4032
knnicad,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.998387705283,2.15942230674,15,3458,5,450,4621
knnicad,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.998387705283,1.13316079786,12,3018,8,390,4032
knnicad,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.998387705283,-2.50700738236,1,4023,12,529,5315
knnicad,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.998387705283,-2.65378482707,25,5776,15,701,7267
knnicad,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.998387705283,1.75645630301,15,13568,9,1511,15853
knnicad,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.998387705283,2.17053609714,7,13508,12,1581,15858
knnicad,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.998387705283,0.116433666253,104,15795,6,1395,18050
knnicad,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.998387705283,-2.0,0,3025,0,403,4032
knnicad,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.998387705283,1.67269616239,20,13549,10,1573,15902
knnicad,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.998387705283,0.901794243993,5,3025,0,398,4032
knnicad,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.998387705283,-0.749828634124,6,3532,16,467,4730
