Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
knnicad,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.99979008,0.629578657713,7,13547,6,1583,15893
knnicad,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.99979008,0.829908932086,9,13560,4,1579,15902
knnicad,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.99979008,0.86067182427,1,3025,0,402,4032
knnicad,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.99979008,0.66600042657,3,3542,5,471,4730
knnicad,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.99979008,0.728037338429,2,1876,0,247,2500
knnicad,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.99979008,0.732257696424,2,1232,0,163,1643
knnicad,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.99979008,0.42067182427,8,3023,2,395,4032
knnicad,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.99979008,-3.0,0,3463,0,465,4621
knnicad,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.99979008,-0.138449197924,1,3026,0,401,4032
knnicad,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.99979008,-2.44,0,4033,2,530,5315
knnicad,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.99979008,-1.39504593484,12,5785,6,714,7267
knnicad,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.99979008,0.862639300632,7,13577,0,1519,15853
knnicad,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.99979008,-2.5793106957,1,13518,2,1587,15858
knnicad,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.99979008,0.116433666253,28,15798,3,1471,18050
knnicad,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.99979008,-1.0,0,3025,0,403,4032
knnicad,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.99979008,0.723575559502,6,13559,0,1587,15902
knnicad,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.99979008,-1.0,0,3025,0,403,4032
knnicad,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.99979008,-0.489195475668,4,3541,7,469,4730
knnicad,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.99979008,1.38471036268,4,1232,1,160,1643
knnicad,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.99979008,-1.22,0,3024,1,403,4032
knnicad,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.99979008,0.0,0,3428,0,0,4032
knnicad,reward_low_FP_rate,realTraffic/speed_6005.csv,0.99979008,0.622622001756,2,1885,1,237,2500
knnicad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.99979008,0.86067182427,6,3025,0,397,4032
knnicad,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.99979008,-3.13384915556,51,19663,14,2217,22695
knnicad,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.99979008,0.0699075050072,3,3079,3,343,4032
knnicad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.99979008,-2.0,0,3026,0,402,4032
knnicad,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.99979008,0.642098587352,1,1154,1,152,1538
knnicad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.99979008,-1.13759635579,1,3023,0,404,4032
knnicad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.99979008,0.736537840284,6,3084,1,337,4032
knnicad,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.99979008,0.86067182427,11,3025,0,392,4032
knnicad,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.99979008,2.12454164554,3,13512,2,1584,15851
knnicad,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.99979008,1.7360251845,3,1875,0,247,2500
knnicad,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.99979008,0.64067182427,3,3024,1,400,4032
knnicad,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.99979008,0.993016958615,16,13524,7,1569,15866
knnicad,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.99979008,0.861272490375,1,1784,0,238,2380
knnicad,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.99979008,-1.44,0,1216,2,163,1624
knnicad,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.99979008,1.50137570748,3,13500,1,1579,15833
knnicad,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.99979008,0.733231007118,4,1155,0,149,1538
knnicad,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.99979008,-0.0603199978378,3,13659,1,1429,15842
knnicad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.99979008,-0.44,0,3426,2,0,4032
knnicad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.99979008,1.51055255851,2,3026,0,400,4032
knnicad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.99979008,-1.4392369683,0,3023,2,403,4032
knnicad,reward_low_FP_rate,realTraffic/speed_7578.csv,0.99979008,3.34242618091,6,841,1,110,1127
knnicad,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.99979008,0.0,0,3428,0,0,4032
knnicad,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.99979008,1.71595613499,2,3026,0,400,4032
