Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
knnofficad,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.999013888,-0.90178915372,6,13528,25,1584,15893
knnofficad,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.999013888,0.55600042657,3,3536,11,471,4730
knnofficad,reward_low_FN_rate,realTraffic/speed_6005.csv,0.999013888,0.292622001756,2,1881,5,237,2500
knnofficad,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.999013888,-5.31999895446,0,919,12,126,1243
knnofficad,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.999013888,0.937447393946,8,13542,17,1585,15902
knnofficad,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.999013888,-0.457838408431,1,1143,12,152,1538
knnofficad,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.999013888,2.04838654464,4,1227,5,161,1643
knnofficad,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.999013888,1.08115461507,4,1869,6,246,2500
knnofficad,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.999013888,2.48899918747,21,13513,18,1564,15866
knnofficad,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.999013888,-2.02681703457,4,13476,25,1576,15831
knnofficad,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.999013888,1.08897720175,7,3018,8,395,4032
knnofficad,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.999013888,-0.222687222984,7,3015,10,396,4032
knnofficad,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.999013888,-0.55,0,3423,5,0,4032
knnofficad,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.999013888,0.145936638727,4,13491,23,1583,15851
knnofficad,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.999013888,0.0,0,3428,0,0,4032
knnofficad,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.999013888,2.50266176731,5,1154,1,148,1538
