Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
knnofficad,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.99979008,-3.65177252348,6,13528,25,1584,15893
knnofficad,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.99979008,-0.65399957343,3,3536,11,471,4730
knnofficad,reward_low_FP_rate,realTraffic/speed_6005.csv,0.99979008,-0.257377998244,2,1881,5,237,2500
knnofficad,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.99979008,-4.63999790891,0,919,12,126,1243
knnofficad,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.99979008,-0.862115562429,8,13542,17,1585,15902
knnofficad,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.99979008,-1.77777540421,1,1143,12,152,1538
knnofficad,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.99979008,1.49838654464,4,1227,5,161,1643
knnofficad,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.99979008,0.421154615067,4,1869,6,246,2500
knnofficad,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.99979008,0.552585283053,21,13513,18,1564,15866
knnofficad,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.99979008,-3.71932221334,4,13476,25,1576,15831
knnofficad,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.99979008,0.323472188467,7,3018,8,395,4032
knnofficad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.99979008,-1.32268722298,7,3015,10,396,4032
knnofficad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.99979008,-1.1,0,3423,5,0,4032
knnofficad,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.99979008,-2.38301173424,4,13491,23,1583,15851
knnofficad,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.99979008,0.0,0,3428,0,0,4032
knnofficad,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.99979008,2.39266176731,5,1154,1,148,1538
knnofficad,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.99979008,-2.7568887854,6,13642,18,1426,15842
knnofficad,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.99979008,-0.458727509625,1,1778,6,238,2380
knnofficad,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.99979008,-1.57485514617,14,13539,25,1574,15902
knnofficad,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.99979008,1.932095378,11,1873,3,238,2500
knnofficad,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.99979008,-2.11844919792,1,3017,9,401,4032
knnofficad,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.99979008,-38.8638334052,134,19477,200,2134,22695
knnofficad,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.99979008,0.0,0,3428,0,0,4032
knnofficad,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.99979008,0.986456303006,11,13569,8,1515,15853
knnofficad,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.99979008,-1.29820575601,2,3015,10,401,4032
knnofficad,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.99979008,-0.279968739085,8,3071,11,338,4032
knnofficad,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.99979008,-0.67932817573,3,3018,7,400,4032
knnofficad,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.99979008,1.06824330604,3,1216,3,159,1624
knnofficad,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.99979008,-2.10785029824,14,8515,20,1021,10320
knnofficad,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.99979008,-2.46181442281,4,1401,9,186,1882
knnofficad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.99979008,-1.24791905277,4,3012,14,398,4032
knnofficad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.99979008,-0.143462159716,6,3080,5,337,4032
knnofficad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.99979008,-1.23844919792,1,3021,5,401,4032
knnofficad,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.99979008,-2.63999654542,1,4022,13,529,5315
knnofficad,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.99979008,-1.57507484734,3,13486,15,1579,15833
knnofficad,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.99979008,-2.21911271578,11,3011,14,392,4032
knnofficad,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.99979008,0.0,0,3428,0,0,4032
knnofficad,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.99979008,-0.764792824772,1,1613,8,216,2162
knnofficad,reward_low_FP_rate,realTraffic/speed_7578.csv,0.99979008,2.90242618091,6,839,3,110,1127
knnofficad,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.99979008,-1.54,0,3421,7,0,4032
knnofficad,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.99979008,-1.01149404133,4,1220,13,160,1643
knnofficad,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.99979008,-3.16545307393,0,3015,10,403,4032
knnofficad,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.99979008,-0.539130116036,4,1211,7,159,1624
knnofficad,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.99979008,-0.375861928587,5,3458,5,460,4621
knnofficad,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.99979008,-4.57057390188,18,5762,29,708,7267
knnofficad,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.99979008,-1.90919602874,4,3011,12,401,4032
knnofficad,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.99979008,-1.98,0,3419,9,0,4032
knnofficad,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.99979008,-4.28356633375,11,15778,23,1488,18050
knnofficad,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.99979008,-1.99932817573,1,3012,13,402,4032
knnofficad,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.99979008,-1.33961755688,5,3537,11,468,4730
knnofficad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.99979008,-1.94596017049,4,3011,14,399,4032
knnofficad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.99979008,-0.447689548504,2,3020,6,400,4032
knnofficad,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.99979008,1.2960251845,4,1869,2,246,2495
knnofficad,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.99979008,0.507683261588,4,3020,6,398,4032
knnofficad,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.99979008,-1.0,0,3025,0,403,4032
knnofficad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.99979008,-2.41084974978,10,3008,15,395,4032
knnofficad,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.99979008,1.07053821063,6,13509,11,1582,15858
knnofficad,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.99979008,-0.89932817573,8,3017,8,395,4032
Totals,,,,-97.2631094993,411,298557,790,33084,365558
