Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
lof,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.994567871094,-3.13953970147,1,13559,0,1592,15902
lof,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.994567871094,-3.13953718203,1,13514,0,1586,15851
lof,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.994567871094,-1.1,0,3418,10,0,4032
lof,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.994567871094,-2.0,0,3548,0,473,4730
lof,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.994567871094,-3.04890962471,1,13660,0,1431,15842
lof,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.994567871094,-2.26667875935,1,3015,11,401,4032
lof,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.994567871094,-10.0,0,8535,0,1035,10320
lof,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.994567871094,-0.254825782307,3,13576,1,1523,15853
lof,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.994567871094,-2.0,0,1784,0,239,2380
lof,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.994567871094,-0.363952242373,2,1154,1,151,1538
lof,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.994567871094,-3.57384265504,1,1228,4,164,1643
lof,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.994567871094,-2.0,0,3025,0,403,4032
lof,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.994567871094,-2.09212319186,0,3024,1,403,4032
lof,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.994567871094,-3.13640956491,2,19676,1,2266,22695
lof,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.994567871094,-4.0,0,3547,0,474,4730
lof,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.994567871094,0.86067182427,2,3025,0,401,4032
lof,reward_low_FN_rate,realTraffic/speed_7578.csv,0.994567871094,-8.0,0,842,0,116,1127
lof,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.994567871094,-4.0,0,3026,0,402,4032
lof,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.994567871094,-6.22,0,3461,2,465,4621
lof,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.994567871094,-6.0,0,3023,0,405,4032
lof,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.994567871094,0.494710362685,3,1232,1,161,1643
lof,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.994567871094,-4.0,0,1875,0,250,2500
lof,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.994567871094,-2.05431562576,0,3024,1,403,4032
lof,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.994567871094,0.0,0,3428,0,0,4032
lof,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.994567871094,-4.0,0,1219,0,162,1624
lof,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.994567871094,1.71595613499,2,3026,0,400,4032
lof,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.994567871094,-0.251315127272,3,3014,11,400,4032
lof,reward_low_FN_rate,realTraffic/speed_6005.csv,0.994567871094,-2.0,0,1886,0,239,2500
lof,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.994567871094,-4.0,0,931,0,126,1243
lof,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.994567871094,-2.0,0,3025,0,403,4032
lof,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.994567871094,0.943084090228,2,3085,0,341,4032
lof,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.994567871094,-4.0,0,1871,0,250,2495
lof,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.994567871094,0.746737540224,2,4032,3,528,5315
lof,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.994567871094,-1.97472465197,4,13525,6,1581,15866
lof,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.994567871094,0.86067182427,1,3025,0,402,4032
lof,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.994567871094,-4.0,0,3026,0,402,4032
lof,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.994567871094,-2.0,0,1621,0,217,2162
lof,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.994567871094,-5.13931041578,1,13501,0,1579,15831
lof,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.994567871094,1.72137570748,2,13501,0,1580,15833
lof,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.994567871094,-4.0,0,3026,0,402,4032
lof,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.994567871094,-1.13844919792,1,3026,0,401,4032
lof,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.994567871094,-1.07101033531,2,3082,0,344,4032
lof,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.994567871094,1.79256860435,2,13553,0,1588,15893
lof,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.994567871094,-3.22363079666,1,3022,1,404,4032
lof,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.994567871094,-5.02502646214,1,13564,0,1587,15902
lof,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.994567871094,0.0,0,3428,0,0,4032
lof,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.994567871094,0.0,0,3428,0,0,4032
lof,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.994567871094,-2.14332305956,2,1400,10,188,1882
lof,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.994567871094,-5.12656054227,1,13519,1,1587,15858
lof,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.994567871094,-3.14454290428,1,1876,0,248,2500
lof,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.994567871094,-2.21999949449,0,3023,2,403,4032
lof,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.994567871094,0.862098587352,1,1155,0,152,1538
lof,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.994567871094,-1.32,0,3416,12,0,4032
lof,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.994567871094,-2.05431562576,0,3024,1,403,4032
lof,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.994567871094,-2.0,0,15801,0,1499,18050
lof,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.994567871094,-4.0,0,5791,0,726,7267
lof,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.994567871094,-2.0,0,1218,0,163,1624
lof,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.994567871094,-1.1,0,3418,10,0,4032
Totals,,,,-131.324468267,46,299257,90,33449,365558
