Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
lof,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.994727325439,-1.13953970147,1,13559,0,1592,15902
lof,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.994727325439,-1.13953718203,1,13514,0,1586,15851
lof,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.994727325439,-2.2,0,3418,10,0,4032
lof,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.994727325439,-1.0,0,3548,0,473,4730
lof,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.994727325439,-1.04890962471,1,13660,0,1431,15842
lof,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.994727325439,-2.39490832077,1,3015,11,401,4032
lof,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.994727325439,-5.0,0,8535,0,1035,10320
lof,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.994727325439,0.493431668955,2,13577,0,1524,15853
lof,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.994727325439,-1.0,0,1784,0,239,2380
lof,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.994727325439,0.526049251506,2,1154,1,151,1538
lof,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.994727325439,-2.01381415829,1,1228,4,164,1643
lof,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.994727325439,-1.0,0,3025,0,403,4032
lof,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.994727325439,-1.18424638373,0,3024,1,403,4032
lof,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.994727325439,-1.02641032883,2,19677,0,2266,22695
lof,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.994727325439,-2.0,0,3547,0,474,4730
lof,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.994727325439,0.86067182427,2,3025,0,401,4032
lof,reward_low_FP_rate,realTraffic/speed_7578.csv,0.994727325439,-4.0,0,842,0,116,1127
lof,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.994727325439,-2.0,0,3026,0,402,4032
lof,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.994727325439,-3.44,0,3461,2,465,4621
lof,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.994727325439,-3.0,0,3023,0,405,4032
lof,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.994727325439,1.38471036268,3,1232,1,161,1643
lof,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.994727325439,-2.0,0,1875,0,250,2500
lof,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.994727325439,-1.10863125152,0,3024,1,403,4032
lof,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.994727325439,0.0,0,3428,0,0,4032
lof,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.994727325439,-2.0,0,1219,0,162,1624
lof,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.994727325439,1.71595613499,2,3026,0,400,4032
lof,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.994727325439,-1.45950593509,3,3014,11,400,4032
lof,reward_low_FP_rate,realTraffic/speed_6005.csv,0.994727325439,-1.0,0,1886,0,239,2500
lof,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.994727325439,-2.0,0,931,0,126,1243
lof,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.994727325439,-1.0,0,3025,0,403,4032
lof,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.994727325439,0.943084090228,2,3085,0,341,4032
lof,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.994727325439,-2.0,0,1871,0,250,2495
lof,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.994727325439,0.416737540224,2,4032,3,528,5315
lof,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.994727325439,-0.634723354735,4,13525,6,1581,15866
lof,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.994727325439,0.86067182427,1,3025,0,402,4032
lof,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.994727325439,-2.0,0,3026,0,402,4032
lof,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.994727325439,-1.0,0,1621,0,217,2162
lof,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.994727325439,-2.13931041578,1,13501,0,1579,15831
lof,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.994727325439,1.72137570748,2,13501,0,1580,15833
lof,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.994727325439,-2.0,0,3026,0,402,4032
lof,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.994727325439,-0.138449197924,1,3026,0,401,4032
lof,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.994727325439,-0.0710103353126,2,3082,0,344,4032
lof,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.994727325439,1.79256860435,2,13553,0,1588,15893
lof,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.994727325439,-1.33361574087,1,3022,1,404,4032
lof,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.994727325439,-2.02502646214,1,13564,0,1587,15902
