Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
lof,standard,realTweets/Twitter_volume_CRM.csv,0.994586181641,-1.13953970147,1,13559,0,1592,15902
lof,standard,realTweets/Twitter_volume_KO.csv,0.994586181641,-1.13953718203,1,13514,0,1586,15851
lof,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.994586181641,-1.1,0,3418,10,0,4032
lof,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.994586181641,-1.0,0,3548,0,473,4730
lof,standard,realTweets/Twitter_volume_GOOG.csv,0.994586181641,-1.04890962471,1,13660,0,1431,15842
lof,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.994586181641,-1.26667875935,1,3015,11,401,4032
lof,standard,realKnownCause/nyc_taxi.csv,0.994586181641,-5.0,0,8535,0,1035,10320
lof,standard,realTweets/Twitter_volume_CVS.csv,0.994586181641,0.745174217693,3,13576,1,1523,15853
lof,standard,realTraffic/occupancy_6005.csv,0.994586181641,-1.0,0,1784,0,239,2380
lof,standard,realAdExchange/exchange-3_cpc_results.csv,0.994586181641,0.636047757627,2,1154,1,151,1538
lof,standard,realAdExchange/exchange-4_cpc_results.csv,0.994586181641,-1.57384265504,1,1228,4,164,1643
lof,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.994586181641,-1.0,0,3025,0,403,4032
lof,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.994586181641,-1.09212319186,0,3024,1,403,4032
lof,standard,realKnownCause/machine_temperature_system_failure.csv,0.994586181641,-1.13640956491,2,19676,1,2266,22695
lof,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.994586181641,-2.0,0,3547,0,474,4730
lof,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.994586181641,0.86067182427,2,3025,0,401,4032
lof,standard,realTraffic/speed_7578.csv,0.994586181641,-4.0,0,842,0,116,1127
lof,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.994586181641,-2.0,0,3026,0,402,4032
lof,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.994586181641,-3.22,0,3461,2,465,4621
lof,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.994586181641,-3.0,0,3023,0,405,4032
lof,standard,realAdExchange/exchange-4_cpm_results.csv,0.994586181641,1.49471036268,3,1232,1,161,1643
lof,standard,realTraffic/occupancy_t4013.csv,0.994586181641,-2.0,0,1875,0,250,2500
lof,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.994586181641,-1.05431562576,0,3024,1,403,4032
lof,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.994586181641,0.0,0,3428,0,0,4032
lof,standard,realAdExchange/exchange-2_cpm_results.csv,0.994586181641,-2.0,0,1219,0,162,1624
lof,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.994586181641,1.71595613499,2,3026,0,400,4032
lof,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.994586181641,-0.251315127272,3,3014,11,400,4032
lof,standard,realTraffic/speed_6005.csv,0.994586181641,-1.0,0,1886,0,239,2500
lof,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.994586181641,-2.0,0,931,0,126,1243
lof,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.994586181641,-1.0,0,3025,0,403,4032
lof,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.994586181641,0.943084090228,2,3085,0,341,4032
lof,standard,realTraffic/speed_t4013.csv,0.994586181641,-2.0,0,1871,0,250,2495
lof,standard,realKnownCause/rogue_agent_key_updown.csv,0.994586181641,0.746737540224,2,4032,3,528,5315
lof,standard,realTweets/Twitter_volume_UPS.csv,0.994586181641,0.0252753480264,4,13525,6,1581,15866
lof,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.994586181641,0.86067182427,1,3025,0,402,4032
lof,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.994586181641,-2.0,0,3026,0,402,4032
lof,standard,realTraffic/TravelTime_451.csv,0.994586181641,-1.0,0,1621,0,217,2162
lof,standard,realTweets/Twitter_volume_AMZN.csv,0.994586181641,-2.13931041578,1,13501,0,1579,15831
lof,standard,realTweets/Twitter_volume_FB.csv,0.994586181641,1.72137570748,2,13501,0,1580,15833
lof,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.994586181641,-2.0,0,3026,0,402,4032
lof,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.994586181641,-0.138449197924,1,3026,0,401,4032
lof,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.994586181641,-0.0710103353126,2,3082,0,344,4032
lof,standard,realTweets/Twitter_volume_IBM.csv,0.994586181641,1.79256860435,2,13553,0,1588,15893
lof,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.994586181641,-1.22363079666,1,3022,1,404,4032
lof,standard,realTweets/Twitter_volume_AAPL.csv,0.994586181641,-2.02502646214,1,13564,0,1587,15902
lof,standard,artificialNoAnomaly/art_noisy.csv,0.994586181641,0.0,0,3428,0,0,4032
