Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
lofcad,reward_low_FN_rate,realTraffic/occupancy_6005.csv,1.0,0.552500240362,1,1781,3,238,2380
lofcad,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,1.0,0.0,0,3428,0,0,4032
lofcad,reward_low_FN_rate,realTraffic/TravelTime_387.csv,1.0,-3.24598133079,1,1875,1,248,2500
lofcad,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,1.0,1.38595724169,2,3023,3,400,4032
lofcad,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,1.0,-10.0,0,8535,0,1035,10320
lofcad,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,1.0,-2.19898766389,1,5781,10,725,7267
lofcad,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,1.0,-0.45776928637,3,13491,10,1577,15831
lofcad,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,1.0,-0.55,0,3423,5,0,4032
lofcad,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,0.172385244943,1,3017,8,402,4032
lofcad,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,1.0,0.503520027686,1,3020,5,402,4032
lofcad,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,1.0,1.17310160415,2,3021,5,400,4032
lofcad,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,1.0,0.547312777016,1,3022,3,402,4032
lofcad,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,1.0,-2.0,0,3025,0,403,4032
lofcad,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,1.0,-4.0,0,3547,0,474,4730
lofcad,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,1.0,-1.46840767714,1,3023,3,401,4032
lofcad,reward_low_FN_rate,realTraffic/speed_7578.csv,1.0,0.305955198213,3,839,3,113,1127
lofcad,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,1.0,-7.08268307144,3,19630,47,2265,22695
lofcad,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,1.0,0.866839244022,3,13497,17,1584,15851
lofcad,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,1.0,-6.55,0,1227,5,165,1643
lofcad,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,-2.54885015054,0,3020,5,403,4032
lofcad,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,1.0,-2.75938544831,2,1230,3,162,1643
lofcad,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,1.0,-3.46432367745,6,13509,22,1579,15866
