Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
lofcad,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.995,-0.42192939224,1,1778,6,238,2380
lofcad,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.995,0.0,0,3428,0,0,4032
lofcad,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.995,-1.35598133079,1,1875,1,248,2500
lofcad,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.995,0.615958348381,2,3021,5,400,4032
lofcad,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.995,-5.0,0,8535,0,1035,10320
lofcad,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.995,-4.26466950766,1,5772,19,725,7267
lofcad,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.995,-0.997764948804,3,13489,12,1577,15831
lofcad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.995,-1.54,0,3421,7,0,4032
lofcad,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.995,-0.869410443278,1,3016,9,402,4032
lofcad,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.995,-0.832109811891,1,3016,9,402,4032
lofcad,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.995,0.403101604151,2,3020,6,400,4032
lofcad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.995,-0.512786913977,2,3018,7,401,4032
lofcad,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.995,-1.0,0,3025,0,403,4032
lofcad,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.995,-2.0,0,3547,0,474,4730
lofcad,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.995,-1.32648358243,2,3020,6,400,4032
lofcad,reward_low_FP_rate,realTraffic/speed_7578.csv,0.995,0.975955198213,3,839,3,113,1127
lofcad,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.995,-12.1303371524,4,19614,63,2264,22695
lofcad,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.995,-1.1938614749,3,13496,18,1584,15851
lofcad,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.995,-2.52938416104,1,1226,6,164,1643
lofcad,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.995,-0.644033237982,1,3018,7,402,4032
lofcad,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.995,-1.30938544831,2,1229,4,162,1643
lofcad,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.995,-2.59268474735,7,13506,25,1578,15866
lofcad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.995,-0.378891592538,3,3078,7,340,4032
lofcad,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.995,-2.05187767589,5,13636,24,1427,15842
