Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
lofcad,standard,realTraffic/occupancy_6005.csv,0.995,0.222566384643,1,1778,6,238,2380
lofcad,standard,artificialNoAnomaly/art_flatline.csv,0.995,0.0,0,3428,0,0,4032
lofcad,standard,realTraffic/TravelTime_387.csv,0.995,-1.24598133079,1,1875,1,248,2500
lofcad,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.995,1.16595724169,2,3021,5,400,4032
lofcad,standard,realKnownCause/nyc_taxi.csv,0.995,-5.0,0,8535,0,1035,10320
lofcad,standard,realKnownCause/ambient_temperature_system_failure.csv,0.995,-2.18236892547,1,5772,19,725,7267
lofcad,standard,realTweets/Twitter_volume_AMZN.csv,0.995,0.32223071363,3,13489,12,1577,15831
lofcad,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.995,-0.77,0,3421,7,0,4032
lofcad,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.995,0.0623852449429,1,3016,9,402,4032
lofcad,standard,artificialWithAnomaly/art_daily_nojump.csv,0.995,0.0819435192708,1,3016,9,402,4032
lofcad,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.995,1.06310160415,2,3020,6,400,4032
lofcad,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.995,0.241818460668,2,3018,7,401,4032
lofcad,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.995,-1.0,0,3025,0,403,4032
lofcad,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.995,-2.0,0,3547,0,474,4730
lofcad,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.995,-0.666525103214,2,3020,6,400,4032
lofcad,standard,realTraffic/speed_7578.csv,0.995,1.30595519821,3,839,3,113,1127
lofcad,standard,realKnownCause/machine_temperature_system_failure.csv,0.995,-5.38443270213,4,19614,63,2264,22695
lofcad,standard,realTweets/Twitter_volume_KO.csv,0.995,0.756839244022,3,13496,18,1584,15851
lofcad,standard,realAdExchange/exchange-4_cpc_results.csv,0.995,-1.86938416104,1,1226,6,164,1643
lofcad,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.995,0.124816912554,1,3018,7,402,4032
lofcad,standard,realAdExchange/exchange-4_cpm_results.csv,0.995,-0.869385448308,2,1229,4,162,1643
lofcad,standard,realTweets/Twitter_volume_UPS.csv,0.995,0.152604010285,7,13506,25,1578,15866
lofcad,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.995,0.31014978444,3,3078,7,340,4032
lofcad,standard,realTweets/Twitter_volume_GOOG.csv,0.995,0.437878915449,5,13636,24,1427,15842
lofcad,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.995,-0.88,0,3420,8,0,4032
lofcad,standard,realAdExchange/exchange-2_cpm_results.csv,0.995,1.24000571635,2,1214,5,160,1624
lofcad,standard,realTweets/Twitter_volume_IBM.csv,0.995,-1.1783110026,5,13524,29,1585,15893
lofcad,standard,realTweets/Twitter_volume_PFE.csv,0.995,0.0113771409047,6,13487,33,1582,15858
lofcad,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.995,-2.0,0,931,0,126,1243
lofcad,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.995,1.9681332134,3,3076,6,343,4032
lofcad,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.995,-3.30070630568,2,15762,39,1497,18050
lofcad,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.995,-0.688449197924,1,3021,5,401,4032
lofcad,standard,artificialNoAnomaly/art_noisy.csv,0.995,-1.54,0,3414,14,0,4032
lofcad,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.995,-0.66,0,3422,6,0,4032
lofcad,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.995,0.853414773304,2,3018,8,400,4032
lofcad,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.995,0.535896409441,1,3022,3,402,4032
lofcad,standard,realTraffic/occupancy_t4013.csv,0.995,-0.786585575612,1,1869,6,249,2500
lofcad,standard,realTraffic/speed_t4013.csv,0.995,-0.676585575612,1,1866,5,249,2495
lofcad,standard,realKnownCause/rogue_agent_key_hold.csv,0.995,0.717783343591,2,1406,4,188,1882
lofcad,standard,realTweets/Twitter_volume_AAPL.csv,0.995,0.584974032163,5,13552,12,1583,15902
lofcad,standard,realAdExchange/exchange-3_cpm_results.csv,0.995,0.313195583965,1,1150,5,152,1538
lofcad,standard,realTraffic/speed_6005.csv,0.995,0.0625382014681,1,1879,7,238,2500
lofcad,standard,realTweets/Twitter_volume_FB.csv,0.995,-0.836065809531,3,13476,25,1579,15833
lofcad,standard,realTweets/Twitter_volume_CRM.csv,0.995,-0.570739322543,4,13528,31,1589,15902
lofcad,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.995,-0.77,0,3421,7,0,4032
lofcad,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.995,-3.0,0,3023,0,405,4032
lofcad,standard,realTraffic/TravelTime_451.csv,0.995,-1.11,0,1620,1,217,2162
lofcad,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.995,0.300024460944,2,3019,4,403,4032
lofcad,standard,realAdExchange/exchange-3_cpc_results.csv,0.995,0.389295454037,2,1152,3,151,1538
lofcad,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.995,-0.135667467543,1,3015,10,402,4032
lofcad,standard,realAdExchange/exchange-2_cpc_results.csv,0.995,0.66215677433,2,1215,3,161,1624
lofcad,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.995,0.280095979691,2,3457,6,463,4621
lofcad,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.995,0.447747119129,2,3020,5,401,4032
lofcad,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.995,-1.0,0,3548,0,473,4730
lofcad,standard,realTweets/Twitter_volume_CVS.csv,0.995,-1.64704390741,4,13537,40,1522,15853
lofcad,standard,realKnownCause/rogue_agent_key_updown.csv,0.995,-1.12420462827,1,4029,6,529,5315
lofcad,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.995,0.275576562215,1,3018,7,402,4032
lofcad,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.995,-0.731484577894,2,3021,5,400,4032
Totals,,,,-28.7334590427,104,298755,592,33391,365558
