Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
loop,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.996092224121,0.677024986219,1,3024,1,402,4032
loop,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.996092224121,0.0,0,3428,0,0,4032
loop,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.996092224121,0.862098587352,1,1155,0,152,1538
loop,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.996092224121,1.50310160415,2,3025,1,400,4032
loop,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.996092224121,0.0,0,3428,0,0,4032
loop,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.996092224121,-2.89786011162,1,3455,8,464,4621
loop,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.996092224121,-2.0,0,1410,0,190,1882
loop,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.996092224121,-3.6361034079,3,15780,21,1496,18050
loop,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.996092224121,-3.54,0,3019,7,402,4032
loop,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.996092224121,1.27953691384,2,1873,2,248,2500
loop,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.996092224121,-2.0,0,931,0,126,1243
loop,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.996092224121,-3.0,0,3023,0,405,4032
loop,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.996092224121,0.209629237126,2,1872,4,247,2500
loop,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.996092224121,-2.0,0,4035,0,530,5315
loop,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.996092224121,0.0,0,3428,0,0,4032
loop,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.996092224121,-0.358449197924,1,3025,1,401,4032
loop,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.996092224121,2.12007715612,3,13556,3,1590,15902
loop,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.996092224121,-1.32,0,3422,6,0,4032
loop,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.996092224121,-1.75324678886,2,8533,2,1033,10320
loop,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.996092224121,0.736537840284,2,3084,1,341,4032
loop,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.996092224121,-0.0298525701038,4,3538,9,470,4730
loop,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.996092224121,2.02150685678,3,3082,0,343,4032
loop,reward_low_FP_rate,realTraffic/speed_7578.csv,0.996092224121,-4.0,0,842,0,116,1127
loop,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.996092224121,-1.0,0,3025,0,403,4032
loop,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.996092224121,-1.13121756013,2,3020,6,400,4032
loop,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.996092224121,-3.92801553776,3,13492,22,1584,15851
loop,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.996092224121,-2.38876849921,0,3018,7,403,4032
loop,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.996092224121,0.0,0,3428,0,0,4032
loop,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.996092224121,-1.0,0,1621,0,217,2162
loop,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.996092224121,-0.45241885854,1,3019,6,402,4032
loop,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.996092224121,-0.164015646703,2,3019,6,401,4032
loop,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.996092224121,-2.0,0,1219,0,162,1624
loop,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.996092224121,-0.73212792244,3,13489,12,1579,15833
loop,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.996092224121,-2.74777442274,3,19660,17,2265,22695
loop,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.996092224121,0.690347585048,2,1232,0,163,1643
loop,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.996092224121,-2.86953080101,3,13543,21,1585,15902
loop,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.996092224121,2.61266176731,3,1155,0,150,1538
loop,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.996092224121,-0.0193281757303,2,3021,4,401,4032
loop,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.996092224121,-6.01343291814,3,13509,22,1582,15866
loop,reward_low_FP_rate,realTraffic/speed_6005.csv,0.996092224121,0.842622001756,1,1886,0,238,2500
loop,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.996092224121,0.240618013663,3,13545,8,1587,15893
loop,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.996092224121,-1.32,0,3422,6,0,4032
loop,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.996092224121,-0.358449197924,1,3025,1,401,4032
loop,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.996092224121,-1.0,0,3025,0,403,4032
loop,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.996092224121,-1.0,0,1218,0,163,1624
loop,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.996092224121,1.52865318903,2,3026,0,400,4032
loop,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.996092224121,-1.0,0,3548,0,473,4730
loop,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.996092224121,-0.126585575612,1,1871,0,249,2495
loop,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.996092224121,-1.10120850074,3,13488,13,1577,15831
loop,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.996092224121,-0.0214259007434,7,13647,13,1425,15842
loop,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.996092224121,-3.0,0,13577,0,1526,15853
loop,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.996092224121,-1.76863125152,0,3021,4,403,4032
loop,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.996092224121,-2.44,0,5789,2,726,7267
loop,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.996092224121,-2.75999590845,0,3017,8,403,4032
loop,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.996092224121,-1.0,0,1784,0,239,2380
loop,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.996092224121,-0.483526424877,2,1232,1,162,1643
loop,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.996092224121,-4.0,0,13520,0,1588,15858
loop,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.996092224121,-1.62346090799,1,3020,3,404,4032
Totals,,,,-58.661010348,75,299099,248,33420,365558
