Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
loop,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.990821075439,0.777168881617,1,3024,1,402,4032
loop,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.990821075439,0.0,0,3428,0,0,4032
loop,standard,realAdExchange/exchange-3_cpm_results.csv,0.990821075439,0.862098587352,1,1155,0,152,1538
loop,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.990821075439,1.50310160415,2,3024,2,400,4032
loop,standard,artificialNoAnomaly/art_flatline.csv,0.990821075439,0.0,0,3428,0,0,4032
loop,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.990821075439,-2.23789553796,1,3453,10,464,4621
loop,standard,realKnownCause/rogue_agent_key_hold.csv,0.990821075439,-2.11,0,1409,1,190,1882
loop,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.990821075439,-2.0961034079,4,15773,28,1495,18050
loop,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.990821075439,-2.77,0,3019,7,402,4032
loop,standard,realTraffic/occupancy_t4013.csv,0.990821075439,1.5160251845,3,1873,2,247,2500
loop,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.990821075439,-2.0,0,931,0,126,1243
loop,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.990821075439,-3.0,0,3023,0,405,4032
loop,standard,realTraffic/TravelTime_387.csv,0.990821075439,0.583776720303,2,1872,4,247,2500
loop,standard,realKnownCause/rogue_agent_key_updown.csv,0.990821075439,-2.0,0,4035,0,530,5315
loop,standard,artificialNoAnomaly/art_noisy.csv,0.990821075439,0.0,0,3428,0,0,4032
loop,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.990821075439,-0.358449197924,1,3024,2,401,4032
loop,standard,realTweets/Twitter_volume_CRM.csv,0.990821075439,2.23140464086,4,13554,5,1589,15902
loop,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.990821075439,-0.66,0,3422,6,0,4032
loop,standard,realKnownCause/nyc_taxi.csv,0.990821075439,-1.53324678886,2,8533,2,1033,10320
loop,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.990821075439,0.822794438858,2,3083,2,341,4032
loop,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.990821075439,0.939860814426,4,3538,9,470,4730
loop,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.990821075439,2.02150685678,3,3082,0,343,4032
loop,standard,realTraffic/speed_7578.csv,0.990821075439,-4.22,0,840,2,116,1127
loop,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.990821075439,-1.0,0,3025,0,403,4032
loop,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.990821075439,-0.581423022102,2,3019,7,400,4032
loop,standard,realTweets/Twitter_volume_KO.csv,0.990821075439,-2.42539051751,3,13484,30,1584,15851
loop,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.990821075439,-1.80438424961,0,3017,8,403,4032
loop,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.990821075439,0.0,0,3428,0,0,4032
loop,standard,realTraffic/TravelTime_451.csv,0.990821075439,-1.0,0,1621,0,217,2162
loop,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.990821075439,0.204126482865,1,3019,6,402,4032
loop,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.990821075439,0.305990601865,2,3018,7,401,4032
loop,standard,realAdExchange/exchange-2_cpm_results.csv,0.990821075439,-0.163624204819,1,1219,0,161,1624
loop,standard,realTweets/Twitter_volume_FB.csv,0.990821075439,-0.0722443347234,3,13483,18,1579,15833
loop,standard,realKnownCause/machine_temperature_system_failure.csv,0.990821075439,0.285815908898,4,19653,24,2264,22695
loop,standard,realAdExchange/exchange-4_cpc_results.csv,0.990821075439,0.580347585048,2,1231,1,163,1643
loop,standard,realTweets/Twitter_volume_AAPL.csv,0.990821075439,-1.33274328456,3,13536,28,1585,15902
loop,standard,realAdExchange/exchange-3_cpc_results.csv,0.990821075439,2.61266176731,3,1155,0,150,1538
loop,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.990821075439,0.200729500894,2,3019,6,401,4032
loop,standard,realTweets/Twitter_volume_UPS.csv,0.990821075439,-3.81453421544,3,13507,24,1582,15866
loop,standard,realTraffic/speed_6005.csv,0.990821075439,0.842622001756,1,1886,0,238,2500
loop,standard,realTweets/Twitter_volume_IBM.csv,0.990821075439,0.726243549854,6,13542,11,1584,15893
loop,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.990821075439,-1.21,0,3417,11,0,4032
loop,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.990821075439,-0.248449197924,1,3025,1,401,4032
loop,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.990821075439,-1.0,0,3025,0,403,4032
loop,standard,realAdExchange/exchange-2_cpc_results.csv,0.990821075439,0.997768594264,1,1218,0,162,1624
loop,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.990821075439,1.52865318903,2,3026,0,400,4032
loop,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.990821075439,-1.0,0,3548,0,473,4730
loop,standard,realTraffic/speed_t4013.csv,0.990821075439,-0.126585575612,1,1871,0,249,2495
loop,standard,realTweets/Twitter_volume_AMZN.csv,0.990821075439,0.000205955858336,5,13485,16,1575,15831
loop,standard,realTweets/Twitter_volume_GOOG.csv,0.990821075439,1.18856738541,8,13645,15,1424,15842
loop,standard,realTweets/Twitter_volume_CVS.csv,0.990821075439,-3.0,0,13577,0,1526,15853
loop,standard,artificialWithAnomaly/art_daily_nojump.csv,0.990821075439,-1.60431562576,0,3019,6,403,4032
loop,standard,realKnownCause/ambient_temperature_system_failure.csv,0.990821075439,-2.33,0,5788,3,726,7267
loop,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.990821075439,-1.87999795423,0,3017,8,403,4032
loop,standard,realTraffic/occupancy_6005.csv,0.990821075439,-1.0,0,1784,0,239,2380
loop,standard,realAdExchange/exchange-4_cpm_results.csv,0.990821075439,-0.373526424877,2,1232,1,162,1643
loop,standard,realTweets/Twitter_volume_PFE.csv,0.990821075439,-4.0,0,13520,0,1588,15858
loop,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.990821075439,-1.38052863189,1,3020,3,404,4032
Totals,,,,-33.6019719198,87,299030,317,33408,365558
