Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
loopcad,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,1.0,-0.88,0,3424,4,0,4032
loopcad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,1.0,0.0961771073853,2,3018,8,400,4032
loopcad,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,1.0,-3.06339859225,3,13487,27,1584,15851
loopcad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,-2.53999016128,0,3018,7,403,4032
loopcad,reward_low_FP_rate,realTraffic/TravelTime_451.csv,1.0,-1.94657834845,0,1616,5,217,2162
loopcad,reward_low_FP_rate,realTraffic/TravelTime_387.csv,1.0,-2.11107725425,1,1871,5,248,2500
loopcad,reward_low_FP_rate,realTraffic/occupancy_6005.csv,1.0,-0.23858661796,1,1779,5,238,2380
loopcad,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,1.0,0.0,0,3428,0,0,4032
loopcad,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,1.0,-0.44,0,3426,2,0,4032
loopcad,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,1.0,-3.09939563854,0,3542,5,474,4730
loopcad,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,1.0,-4.0691040551,4,13547,30,1522,15853
loopcad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,-0.143451702857,1,3080,5,342,4032
loopcad,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,1.0,-4.5157617286,3,13471,30,1579,15833
loopcad,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,1.0,-3.31987539127,0,3020,6,402,4032
loopcad,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,1.0,-8.03938044399,4,19632,45,2264,22695
loopcad,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,1.0,-2.4646251725,3,13535,24,1590,15902
loopcad,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,1.0,-0.784691631667,2,1231,2,162,1643
loopcad,reward_low_FP_rate,realTraffic/speed_t4013.csv,1.0,-1.00658557561,1,1867,4,249,2495
loopcad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-1.23844919792,1,3021,5,401,4032
loopcad,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,-1.76755136632,0,3021,4,403,4032
loopcad,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,1.0,0.183184645716,2,3019,7,400,4032
loopcad,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,1.0,0.0722576964242,2,1229,3,163,1643
loopcad,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,1.0,-3.0,0,3023,0,405,4032
loopcad,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,1.0,-1.0,0,3548,0,473,4730
loopcad,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,1.0,1.1789997469,2,1216,3,160,1624
loopcad,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,1.0,-0.454821788327,1,3019,6,402,4032
loopcad,reward_low_FP_rate,realTraffic/speed_7578.csv,1.0,-1.1276585848,2,839,3,114,1127
loopcad,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,1.0,-3.32793355418,4,13631,29,1428,15842
loopcad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,1.0,-0.292219231441,2,3019,6,401,4032
loopcad,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,1.0,-3.03280978638,5,13470,31,1575,15831
loopcad,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,1.0,-3.79295902233,4,13505,26,1581,15866
loopcad,reward_low_FP_rate,realTraffic/speed_6005.csv,1.0,-1.88,0,1882,4,239,2500
loopcad,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.0,-3.31999964574,0,925,6,126,1243
loopcad,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,1.0,-0.116140371001,1,3020,5,402,4032
loopcad,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,-0.595239143331,1,3022,3,402,4032
loopcad,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,1.0,-0.211554515883,1,3019,6,402,4032
loopcad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,1.0,-3.11786157809,1,3014,9,404,4032
loopcad,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,1.0,-1.45825975281,1,3020,6,401,4032
loopcad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,-2.25663706894,1,3020,6,401,4032
loopcad,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,1.0,-0.566585575612,1,1873,2,249,2500
loopcad,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,1.0,-3.87992914732,0,3459,4,465,4621
loopcad,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,1.0,-2.46820169937,4,13492,28,1584,15858
loopcad,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,-0.10025527309,2,3020,5,401,4032
loopcad,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,1.0,-0.108584968342,1,1213,5,162,1624
loopcad,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,1.0,0.526046263749,2,1154,1,151,1538
loopcad,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,1.0,-1.54,0,3421,7,0,4032
loopcad,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,1.0,-1.92056724539,2,5776,15,724,7267
