knn, /Users/vlad/Desktop/Conformal Anomaly Detection/data/data_nab
1127, 2.48136
1538, 3.906342
2500, 9.958356
4032, 21.429304
4032, 21.514017
1624, 4.956906
4032, 24.956068
2500, 13.472864
1624, 4.526031
2162, 7.901628
4032, 24.811039
4032, 21.075282
4032, 21.62532
4032, 22.017436
4032, 21.518932
4032, 19.982835
2500, 8.279751
4032, 20.229485
4730, 29.910878
1882, 4.789344
2380, 7.266984
10320, 151.078141
4032, 32.666185
1243, 2.304863
4032, 25.600723
4032, 20.888493
15851, 371.989614
15893, 385.652817
1643, 5.322588
1538, 3.216274
15902, 379.96566
15866, 398.211769
5315, 39.278217
15833, 345.773236
22695, 705.745198
4032, 20.401663
4032, 20.399601
4032, 21.054793
7267, 60.492802
2495, 8.900852
4730, 28.037228
4032, 20.594283
4032, 18.088557
4032, 19.671867
15858, 355.002785
1643, 3.612298
4032, 19.684604
15842, 315.763234
4621, 27.29858
18050, 377.719009
4032, 21.056643
4032, 21.067614
4032, 21.61903
15853, 296.51005
15831, 306.81025
4032, 16.034983
15902, 273.364324
4032, 9.402869
