knncad, /home/dvolkhonskiy/ish_vlad/Conformal-Anomaly-Detection/data/data_nab
4032, 4831.211116
4032, 4837.186616
4032, 4843.894607
4032, 4852.507192
4032, 4856.006264
4032, 4874.684412
4032, 4872.824215
4032, 4877.811681
4032, 4921.467949
4032, 4957.889272
4032, 4966.506722
4032, 5034.342512
4032, 5048.093771
4032, 5066.395115
4032, 5066.658783
4730, 7904.273336
4032, 4948.428689
4032, 4930.377827
4032, 4979.443385
4032, 4966.556849
4730, 7960.441732
4032, 4960.687609
4032, 4978.06851
4032, 4998.224836
1243, 159.847563
4032, 4858.326368
4032, 4836.988558
4621, 7160.431057
1538, 415.380689
1643, 472.603397
1643, 483.689694
1624, 492.576769
1127, 194.784768
1882, 733.654151
2162, 1231.381635
1538, 414.004653
2500, 1644.153498
2495, 1806.590497
2500, 1837.661755
1624, 372.586625
2500, 1691.311782
2380, 1206.922254
4032, 4791.632088
5315, 10840.076286
15831, 563453.517734
15833, 565884.828675
15853, 574892.401733
15842, 575692.465128
15902, 581389.364125
15893, 582461.083228
15902, 583204.072581
7267, 33384.377053
10320, 93675.346671
15851, 578271.167288
15858, 573721.12342
15866, 574189.175691
18050, 718488.113139
22695, 1396798.488982
