knnicad, /home/vishimtsev/Conformal-Anomaly-Detection/data/data_nab
1127, 0.347854
1538, 0.406088
2500, 1.115266
4032, 1.320144
4032, 1.578744
2500, 0.640434
4032, 2.044553
4032, 2.045891
1624, 0.58263
1624, 0.594008
4032, 1.198579
4032, 1.153407
4032, 1.818741
4730, 1.443563
2500, 0.714078
4032, 1.214303
4032, 1.169501
2380, 0.595044
10320, 6.077392
4032, 1.523922
4032, 1.399721
4032, 1.361523
15851, 12.42679
1538, 0.349251
15858, 13.951631
2162, 0.806154
1643, 0.572852
15866, 14.782446
15893, 12.491509
4032, 1.197696
15902, 14.69195
1643, 0.589824
4032, 1.855375
5315, 1.906332
4032, 1.782588
15853, 12.564261
1882, 0.442761
4032, 1.815242
4032, 1.24588
7267, 3.538752
4032, 1.733721
2495, 0.717131
15833, 10.052225
4032, 1.437921
4730, 2.24414
4032, 1.196399
4032, 1.356302
4032, 1.864134
4032, 1.206244
4032, 1.216955
15842, 12.468141
15831, 11.611338
15902, 13.257313
22695, 22.303802
4621, 2.178702
4032, 1.432632
18050, 15.816297
1243, 0.257555
