knnofficad, /home/vishimtsev/Conformal-Anomaly-Detection/data/data_nab
1127, 0.20064
1538, 0.239777
2500, 0.733763
4032, 0.715458
4032, 0.800294
4032, 0.797332
1624, 0.239601
1624, 0.237846
4032, 1.111584
2500, 0.553958
4032, 0.600985
4032, 0.660075
2500, 0.377875
4032, 1.062576
4730, 0.753953
4032, 0.99712
15902, 2.834373
15866, 3.571712
10320, 1.861582
4032, 0.65487
15851, 3.403409
4032, 0.906248
15858, 4.258003
2380, 0.352823
4032, 0.587436
5315, 1.047773
2162, 0.541435
1538, 0.218374
4032, 0.685765
15853, 2.448327
1643, 0.389711
1882, 0.269715
15893, 3.942953
4032, 1.063407
1643, 0.232471
4032, 1.069217
4032, 0.979542
4032, 0.576288
4032, 0.678742
15833, 2.760621
7267, 1.845436
4032, 0.947405
15902, 2.661358
2495, 0.363941
4032, 0.602517
22695, 4.039891
4032, 0.660199
4032, 0.66244
4032, 0.561765
4730, 1.175741
4032, 0.676219
15842, 4.09556
4032, 0.668125
4032, 0.66227
15831, 4.139288
4621, 0.731534
18050, 4.900828
1243, 0.16831
