knnslice, /Users/vlad/Desktop/Conformal Anomaly Detection/data/data_nab
1127, 6.384735
1538, 14.580335
2500, 33.884669
4032, 74.510085
4032, 74.654426
1624, 15.994406
4032, 75.271248
1624, 11.600102
2500, 33.479831
2162, 21.27284
4032, 68.736163
4032, 68.206158
4032, 67.212553
4032, 67.435698
4032, 66.055675
4032, 66.710555
2500, 29.826188
4032, 70.499971
4730, 93.622442
1882, 15.29638
15851, 406.742774
2380, 24.41198
10320, 252.65731
4032, 101.647692
1243, 6.754692
4032, 67.846718
15893, 428.909942
4032, 68.182138
1643, 11.408151
1538, 10.328695
15866, 429.532402
5315, 111.409619
22695, 565.588677
4032, 65.660052
15902, 389.340945
15833, 385.609623
4032, 65.795657
4032, 65.425331
15842, 384.410131
7267, 153.589404
2495, 27.165362
4621, 86.190187
18050, 408.748595
15858, 383.70681
1643, 11.277654
4730, 90.444236
4032, 65.382619
4032, 65.313421
4032, 65.603657
4032, 65.421435
4032, 66.220387
4032, 68.911361
4032, 66.884965
15902, 378.128965
4032, 59.17718
15853, 342.64715
4032, 47.883755
15831, 304.663478
