lofofficad, /home/dvolkhonskiy/ish_vlad/Conformal-Anomaly-Detection/data/data_nab
1643, 0.443297
2500, 1.099228
4032, 1.089206
1127, 0.222297
4032, 1.607367
4032, 1.875322
4032, 1.916546
4032, 1.152686
1624, 0.597496
1624, 0.598651
4032, 1.718323
4730, 1.570662
4032, 1.764341
15902, 4.312844
15866, 4.356062
4032, 1.380552
1538, 0.408445
4032, 1.273768
2500, 0.877706
15858, 5.285525
5315, 1.433984
4032, 1.630851
2500, 0.807985
15851, 5.308541
1882, 0.610425
4032, 1.187312
4032, 0.834708
4032, 0.908427
15902, 4.877372
2380, 0.928162
1643, 0.347186
1538, 0.325326
2162, 0.499974
4032, 1.229627
4621, 1.352631
10320, 4.409353
15893, 5.500072
1243, 0.252193
4032, 1.520824
4032, 0.851575
2495, 0.550792
15853, 4.961108
4032, 0.860677
4032, 1.845637
4730, 1.025594
4032, 0.836813
15833, 5.691463
4032, 1.511648
4032, 1.742488
4032, 1.131049
15831, 6.92481
7267, 2.41573
22695, 9.074893
4032, 1.206244
4032, 1.785852
18050, 6.826123
4032, 1.05937
15842, 4.574535
