lof, /Users/vlad/Desktop/Conformal Anomaly Detection/data/data_nab
1127, 3.041907
1538, 5.759964
2500, 13.814215
4032, 35.174721
4032, 35.484867
1624, 7.34292
4032, 39.435727
2500, 18.288988
1624, 6.836298
2162, 13.448366
4032, 39.228701
4032, 37.538175
4032, 36.868869
4032, 33.470242
4032, 33.262995
4032, 31.214962
2500, 13.869141
4032, 32.931429
4730, 41.794565
1882, 7.73547
2380, 10.245068
10320, 231.124799
4032, 47.507139
1243, 3.240633
4032, 30.358965
4032, 29.084033
15851, 528.351317
15893, 527.172936
1643, 5.957474
1538, 5.032894
15902, 530.453036
15866, 573.765419
5315, 66.407512
22695, 1004.350007
15833, 536.866093
4032, 42.587043
4032, 42.291452
4032, 40.808721
7267, 104.860863
2495, 15.085377
4730, 60.610249
4032, 36.036812
4032, 42.396839
4032, 43.280965
15858, 624.192965
1643, 5.869736
4032, 32.295923
15842, 559.574889
4621, 55.634997
18050, 638.712724
4032, 35.508132
4032, 33.291472
4032, 32.35391
15853, 465.930578
4032, 25.006494
15831, 479.300212
15902, 424.228524
4032, 15.376775
