knnofficad, /Users/vlad/Desktop/Conformal Anomaly Detection/data/data_nab
1127, 0.880168
2500, 1.823956
1538, 1.045744
4032, 3.187312
4032, 3.13749
1624, 0.754528
2500, 1.147186
4032, 2.511077
1624, 0.747364
2162, 1.027513
4032, 2.71062
4032, 3.524689
4032, 3.567322
4032, 2.619635
4032, 2.061636
4032, 2.156936
15851, 11.05362
2500, 2.083155
4032, 2.858604
10320, 6.523174
4730, 2.520948
1882, 0.881523
4032, 1.958468
2380, 1.065036
1243, 0.590019
4032, 2.811558
15866, 9.539266
15893, 9.565034
4032, 2.756242
1643, 1.092524
1538, 0.997927
5315, 4.027341
22695, 16.891869
15902, 11.922666
15833, 11.644999
4032, 1.971156
15842, 10.863725
4032, 1.921421
4621, 2.477924
4032, 2.377156
15858, 10.741873
7267, 5.747772
1643, 1.942582
2495, 2.06548
18050, 13.021245
4032, 2.224039
15902, 12.346384
4730, 2.976423
4032, 2.389535
4032, 2.354855
4032, 2.589268
4032, 2.78494
4032, 2.859394
4032, 2.691006
4032, 1.981753
15853, 6.818032
15831, 6.52367
4032, 1.214138
